airline_id,name,alias,iata,icao,callsign,country_id,active
1,Private flight,N,-,N/A,,1,Y
2,135 Airways,N,,GNL,GENERAL,288,N
3,1Time Airline,N,1T,RNX,NEXTIME,258,Y
4,2 Sqn No 1 Elementary Flying Training School,N,,WYT,,287,N
5,213 Flight Unit,N,,TFU,,234,N
6,223 Flight Unit State Airline,N,,CHD,CHKALOVSK-AVIA,234,N
7,224th Flight Unit,N,,TTF,CARGO UNIT,234,N
8,247 Jet Ltd,N,,TWF,CLOUD RUNNER,287,N
9,3D Aviation,N,,SEC,SECUREX,288,N
10,40-Mile Air,N,Q5,MLA,MILE-AIR,288,Y
11,4D Air,N,,QRT,QUARTET,274,N
12,611897 Alberta Limited,N,,THD,DONUT,88,N
13,Ansett Australia,N,AN,AAA,ANSETT,62,Y
14,Abacus International,N,1B,,,252,Y
15,Abelag Aviation,N,W9,AAB,ABG,70,N
16,Army Air Corps,N,,AAC,ARMYAIR,287,N
17,Aero Aviation Centre Ltd.,N,,AAD,SUNRISE,88,N
18,Aero Servicios Ejecutivos Internacionales,N,,SII,ASEISA,188,N
19,Aero Biniza,N,,BZS,BINIZA,188,N
20,Aero Albatros,N,,ABM,ALBATROS ESPANA,261,N
21,Aigle Azur,N,ZI,AAF,AIGLE AZUR,127,Y
22,Aloha Airlines,N,AQ,AAH,ALOHA,288,Y
23,Alaska Island Air,N,,AAK,ALASKA ISLAND,288,N
24,American Airlines,N,AA,AAL,AMERICAN,288,Y
25,Aviation Management Corporation,N,,AAM,AM CORP,288,N
26,Atlantis Airlines (USA),N,,AAO,ATLANTIS AIR,288,N
27,Aerovista Airlines,N,,AAP,AEROVISTA GROUP,286,N
28,Asiana Airlines,N,OZ,AAR,ASIANA,230,Y
29,Askari Aviation,N,4K,AAS,AL-AAS,217,Y
30,Australia Asia Airlines,N,,AAU,AUSTASIA,62,N
31,Astro Air International,N,,AAV,ASTRO-PHIL,288,N
32,Afriqiyah Airways,N,8U,AAW,AFRIQIYAH,173,Y
33,Afrinat International Airlines,N,Q9,AFU,,131,N
34,Afric'air Express,N,,AAX,AFREX,157,N
35,Allegiant Air,N,G4,AAY,ALLEGIANT,288,Y
36,Angus Aviation,N,,AAZ,ANGUS,88,N
37,Artem-Avia,N,,ABA,ARTEM-AVIA,285,N
38,African Business and Transportations,N,,ABB,AFRICAN BUSINESS-,111,N
39,Aban Air,N,K5,ABE,ABAN,152,n
40,Aerial Oy,N,,ABF,SKYWINGS,126,N
41,Abakan-Avia,N,,ABG,ABAKAN-AVIA,234,N
42,ABSA - Aerolinhas Brasileiras,N,M3,TUS,ABSA Cargo,78,Y
43,Abaet,N,,ABJ,Abaet,78,N
44,Alberta Citylink,N,,ABK,ALBERTA CITYLINK,88,N
45,APSA Colombia,N,,ABO,AEROEXPRESO,97,N
46,Aerovias Bueno,N,,ABU,AEROBUENO,97,N
47,Aerocenter,N,,ACR, Escuela de Formacion de Pioltos Privados de Avion,6,N
48,Antrak Air,N,04,ABV,ANTRAK,134,N
49,Airborne Express,N,GB,ABX,ABEX,288,N
50,ABX Air,N,GB,ABX,ABEX,288,N
51,ATA Brasil,N,,ABZ,ATA-BRAZIL,78,N
52,Avcard Services,N,,ACC,,287,N
53,Academy Airlines,N,,ACD,ACADEMY,288,N
54,Aero Comondu,N,,ACO,AERO COMONDU,188,N
55,Astral Aviation,N,8V,ACP,ASTRAL CARGO,162,Y
56,Air Cess,N,,ACS,,172,N
57,Air Aurora,N,,AAI,BOREALIS,288,N
58,Air Cargo Transportation System,N,,ACU,AFRISPIRIT,162,N
59,Air Charter Service,N,,ACV,,287,N
60,Aero Asia International,N,E4,RSO,AERO ASIA,217,N
61,Air Charters,N,,ACX,PARAIR,88,N
62,Air Togo,N,YT,TGA,AIR TOGO,275,N
63,Air Somalia,N,,RSM,AIR SOMALIA,256,N
64,Atlas Cargo Lines,N,,ACY,ATLAS CARGOLINES,195,N
65,Airservices Australia,N,,ADA,AUSCAL,62,N
66,Advance Leasing Company,N,4G,,,288,N
67,Aztec Worldwide Airlines,N,7A,,,288,N
68,Air Tindi,N,8T,,,89,Y
69,Antonov Airlines,N,,ADB,ANTONOV BUREAU,285,N
70,Air Atlantic Dominicana,N,,ADC,ATLAN-DOMINICAN,115,N
71,Advanced Air Co.,N,,ADD,,159,N
72,Ada Air,N,ZY,ADE,ADA AIR,53,Y
73,Aerea Flying Training Organization,N,,ADG,AEREA TRAINING,261,N
74,Audeli Air,N,,ADI,AUDELI,261,N
75,Abicar,N,,ADJ,ABICAR,157,N
76,ADC Airlines,N,Z7,ADK,ADCO,209,N
77,Aero Dynamics,N,,ADL,COTSWOLD,287,N
78,Aerolineas Dominicanas,N,,ADM,DOMINAIR,115,N
79,Aerodienst GmbH,N,,ADN,AERODIENST,133,N
80,Aerodiplomatic,N,,ADP,AERODIPLOMATIC,188,N
81,Aerodyne,N,,ADY,AERODYNE,288,N
82,Avion Taxi,N,,ADQ,AIR DATA,88,N
83,Adria Airways,N,JP,ADR,ADRIA,254,Y
