airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
8499,Jackson County Reynolds Field,Jackson,288,JXN,KJXN,42.2597999573,-84.45939636230001,1001,-5.0,A,America/New_York,airport,OurAirports
1893,Ilopango International Airport,San Salvador,118,N,MSSS,13.69950008392334,-89.11990356445312,2021,-6.0,U,America/El_Salvador,airport,OurAirports
8195,Block Island State Airport,Block Island,288,BID,KBID,41.1680984497,-71.577796936,108,-5.0,A,America/New_York,airport,OurAirports
4309,Ancona Falconara Airport,Ancona,156,AOI,LIPY,43.616299,13.3623,49,1.0,E,Europe/Rome,airport,OurAirports
3319,Alice Springs Airport,Alice Springs,62,ASP,YBAS,-23.806699752807617,133.90199279785156,1789,9.5,N,Australia/Darwin,airport,OurAirports
9861,Sleap Airport,Shrewsbury,287,N,EGCV,52.8339004517,-2.77167010307,275,0.0,U,Europe/London,airport,OurAirports
492,London Luton Airport,London,287,LTN,EGGW,51.874698638916016,-0.3683330118656158,526,0.0,E,Europe/London,airport,OurAirports
13538,Namlea Airport,Namlea,151,NAM,WAPR,-3.235569953918457,127.0999984741211,41,9.0,N,N,airport,OurAirports
6870,Whitsunday Island Airport,Airlie Beach,62,WSY,YWHI,-20.27611,148.755,40,10.0,O,Australia/Brisbane,airport,OurAirports
4061,El Calafate Airport,El Calafate,59,FTE,SAWC,-50.2803,-72.053101,669,-3.0,N,America/Argentina/Rio_Gallegos,airport,OurAirports
2289,Chitose Air Base,Chitose,159,N,RJCJ,42.79449844359999,141.666000366,87,9.0,U,Asia/Tokyo,airport,OurAirports
4344,Yellowstone Regional Airport,Cody,288,COD,KCOD,44.520198822,-109.024002075,5102,-7.0,A,America/Denver,airport,OurAirports
6219,Lawas Airport,Lawas,181,LWY,WBGW,4.84917,115.407997,5,8.0,N,Asia/Kuala_Lumpur,airport,OurAirports
6081,J F Mitchell Airport,Bequia,244,BQU,TVSB,12.9884004593,-61.2620010376,15,-4.0,U,America/St_Vincent,airport,OurAirports
6066,Mayor General FAP Armando Revoredo Iglesias Airport,Cajamarca,223,CJA,SPJR,-7.1391801834106445,-78.4894027709961,8781,-5.0,U,America/Lima,airport,OurAirports
3541,Marshall Army Air Field,Fort Riley,288,FRI,KFRI,39.05530167,-96.76450348,1065,-6.0,A,America/Chicago,airport,OurAirports
8509,Zephyrhills Municipal Airport,Zephyrhills,288,ZPH,KZPH,28.2282009125,-82.15589904790001,90,-5.0,A,America/New_York,airport,OurAirports
6860,Bungle Bungle Airport,Bungle Bungle,62,N,YBUU,-17.545299530029297,128.3070068359375,0,8.0,U,Australia/Perth,airport,OurAirports
